call_id,reasons,call_date,hour_of_day,duration_seconds,destination,destination_name,related_to_specialty_transfer,et_hour,call_type,hold_limit,agent_id,connected,case_ref
2024-08-29 23:35:25.708+00+12082540231+17322547800,transfer_confirm_call,2024-08-29,23:00:00,8,7322547800,Southwood Pharmacy,0.0,19,transfer_confirm_call,420,AGT-01,False,RX-38558
2024-08-04 16:17:13.795+00+12012838683+18004212342,pa_plan_call,2024-08-04,16:00:00,3,8004212342,Bc/bs Federal Employees,1.0,12,pa_plan_call,900,AGT-01,False,PA-7304
2024-08-13 20:47:51.505+00+12082540231+13037524911,transfer_confirm_call,2024-08-13,20:00:00,516,3037524911,Walgreens,0.0,16,transfer_confirm_call,420,AGT-01,True,RX-34412
2024-08-10 17:09:45.301+00+12082540231+18554274682,transfer_confirm_call,2024-08-10,17:00:00,565,8554274682,Optum Specialty Pharmacy,1.0,13,transfer_confirm_call,420,AGT-01,True,RX-31196
2024-08-10 00:48:12.983+00+12012838683+18667597494,patient_access_check,2024-08-10,00:00:00,51,8667597494,Skyrizi Bridge,1.0,20,patient_access_check,900,AGT-01,True,ENR-3155
2024-08-10 18:50:54.350+00+12082540231+18008801188,pa_plan_call,2024-08-10,18:00:00,335,8008801188,Cwa,0.0,14,pa_plan_call,900,AGT-01,True,PA-7345
2024-08-04 16:16:06.210+00+12012838683+18007887871,pa_plan_call,2024-08-04,16:00:00,4,8007887871,Aarp Medicare Pdp,1.0,12,pa_plan_call,900,AGT-01,False,PA-6086
2024-08-29 23:14:34.925+00+12012838683+18887689588,patient_access_check,2024-08-29,23:00:00,357,8887689588,SOTYKTU Start,,19,patient_access_check,900,AGT-01,True,ENR-2931
2024-08-14 15:35:34.655+00+12012838683+18888437226,transfer_confirm_call,2024-08-14,15:00:00,189,8888437226,TheraCom,1.0,11,transfer_confirm_call,420,AGT-01,True,RX-30417
2024-08-13 15:15:41.759+00+12082540231+17184039112,transfer_confirm_call,2024-08-13,15:00:00,127,7184039112,Walgreens,0.0,11,transfer_confirm_call,420,AGT-01,True,RX-34412
2024-08-23 17:37:13.093+00+12012838683+12028295234,transfer_confirm_call,2024-08-23,17:00:00,13,2028295234,CVS Pharmacy,0.0,13,transfer_confirm_call,420,AGT-02,False,RX-37511
2024-08-08 18:05:40.354+00+12012838683+15097251151,transfer_confirm_call,2024-08-08,18:00:00,0,5097251151,Davenport Pharmacy,0.0,14,transfer_confirm_call,420,AGT-02,False,RX-33142
2024-08-30 15:26:46.213+00+12012838683+18008240898,pa_plan_call,2024-08-30,15:00:00,901,8008240898,Medco Medicare Pdp,1.0,11,pa_plan_call,900,AGT-02,True,PA-9122
2024-08-01 18:03:39.510+00+12012838683+18007917658,transfer_confirm_call,2024-08-01,18:00:00,621,8007917658,Optum Home Delivery,0.0,14,transfer_confirm_call,420,AGT-02,True,RX-32754
2024-08-02 00:52:38.425+00+12012838683+17187362200,transfer_confirm_call,2024-08-02,00:00:00,23,7187362200,City Chemist,0.0,20,transfer_confirm_call,420,AGT-02,False,RX-30102
2024-08-18 22:03:45.199+00+12012838683+18664098430,pa_plan_call,2024-08-18,22:00:00,41,8664098430,Husky Health CT,1.0,18,pa_plan_call,900,AGT-02,True,PA-2363
2024-08-31 21:27:20.757+00+12012838683+18007979791,pa_plan_call,2024-08-31,21:00:00,63,8007979791,United Healthcare,1.0,17,pa_plan_call,900,AGT-02,True,PA-5879
2024-08-26 17:34:46.843+00+12012838683+18443874936,patient_access_check,2024-08-26,17:00:00,430,8443874936,Dupixent MyWay Atopic Dermatitis,1.0,13,patient_access_check,900,AGT-02,True,ENR-1089
2024-08-22 23:49:35.157+00+12012838683+18667597494,patient_access_check,2024-08-22,23:00:00,333,8667597494,Skyrizi Bridge,1.0,19,patient_access_check,900,AGT-02,True,ENR-7571
2024-08-30 15:59:45.100+00+12012838683+17603844020,transfer_confirm_call,2024-08-30,15:00:00,98,7603844020,Sav-On Pharmacy,0.0,11,transfer_confirm_call,420,AGT-02,True,RX-40080
2024-08-23 16:23:51.774+00+12082540208+18443874936,patient_access_check,2024-08-23,16:00:00,10,8443874936,Dupixent MyWay Atopic Dermatitis,1.0,12,patient_access_check,900,AGT-03,False,ENR-2626
2024-08-23 17:46:13.349+00+12082540208+18339563376,patient_access_check,2024-08-23,17:00:00,7,8339563376,Litfulo Start,,13,patient_access_check,900,AGT-03,False,ENR-7736
2024-08-29 20:38:57.462+00+12082540208+16095845851,transfer_confirm_call,2024-08-29,20:00:00,424,6095845851,CVS Pharmacy,0.0,16,transfer_confirm_call,420,AGT-03,True,RX-39914
2024-08-30 19:09:02.740+00+12082540208+18443874936,patient_access_check,2024-08-30,19:00:00,939,8443874936,Dupixent MyWay Atopic Dermatitis,1.0,15,patient_access_check,900,AGT-03,True,ENR-7719
2024-08-27 19:01:28.547+00+12012838683+18007887871,pa_plan_call,2024-08-27,19:00:00,1932,8007887871,Community Health Netwk,0.0,15,pa_plan_call,900,AGT-03,True,PA-9408
2024-08-29 22:04:57.331+00+12082540208+18008801188,pa_plan_call,2024-08-29,22:00:00,1444,8008801188,Cwa,1.0,18,pa_plan_call,900,AGT-03,True,PA-4752
2024-08-27 16:30:40.832+00+12012838683+18004212342,pa_plan_call,2024-08-27,16:00:00,463,8004212342,Bc/bs Federal Employees,1.0,12,pa_plan_call,900,AGT-03,True,PA-9757
2024-08-29 21:21:17.567+00+12082540208+12036588229,transfer_confirm_call,2024-08-29,21:00:00,66,2036588229,A&S Pharmacy,0.0,17,transfer_confirm_call,420,AGT-03,True,RX-39362
2024-08-28 16:20:33.446+00+12012838683+15125281193,transfer_confirm_call,2024-08-28,16:00:00,146,5125281193,CVS Pharmacy,0.0,12,transfer_confirm_call,420,AGT-03,True,RX-37022
2024-08-29 19:28:55.474+00+12082540208+12814917551,transfer_confirm_call,2024-08-29,19:00:00,141,2814917551,CVS Pharmacy,0.0,15,transfer_confirm_call,420,AGT-03,True,RX-39914
2024-08-30 20:49:00.085+00+12082540552+16314221912,transfer_confirm_call,2024-08-30,20:00:00,17,6314221912,CVS Pharmacy,0.0,16,transfer_confirm_call,420,AGT-04,False,RX-40792
2024-08-23 21:16:59.016+00+12082540552+18554274682,transfer_confirm_call,2024-08-23,21:00:00,11,8554274682,Optum Specialty Pharmacy,1.0,17,transfer_confirm_call,420,AGT-04,False,RX-37282
2024-08-30 14:13:53.268+00+12082540552+18008240898,pa_plan_call,2024-08-30,14:00:00,997,8008240898,Medco Medicare Pdp,1.0,10,pa_plan_call,900,AGT-04,True,PA-9287
2024-08-23 16:59:54.099+00+12082540552+15094642791,transfer_confirm_call,2024-08-23,16:00:00,424,5094642791,Rite Aid Pharmacy,0.0,12,transfer_confirm_call,420,AGT-04,True,RX-35360
2024-08-28 20:00:33.482+00+12082540552+18008801188,pa_plan_call,2024-08-28,20:00:00,1725,8008801188,Cwa,1.0,16,pa_plan_call,900,AGT-04,True,PA-9001
2024-08-26 21:19:39.525+00+12082540552+18004212342,pa_plan_call,2024-08-26,21:00:00,251,8004212342,Bc/bs Federal Employees,1.0,17,pa_plan_call,900,AGT-04,True,PA-1839
2024-08-23 21:17:43.666+00+12082540552+18448258966,patient_access_check,2024-08-23,21:00:00,465,8448258966,Taltz Bridge,,17,patient_access_check,900,AGT-04,True,ENR-3885
2024-08-22 14:21:23.409+00+12082540552+18002226885,patient_access_check,2024-08-22,14:00:00,343,8002226885,Skyrizi Patient Assistance,1.0,10,patient_access_check,900,AGT-04,True,ENR-5824
2024-08-27 22:12:51.579+00+12082540552+18007917658,transfer_confirm_call,2024-08-27,22:00:00,228,8007917658,Optum Home Delivery,1.0,18,transfer_confirm_call,420,AGT-04,True,RX-37811
2024-08-26 20:51:49.256+00+12082540552+19133467405,transfer_confirm_call,2024-08-26,20:00:00,265,9133467405,Capstone Pharmacy,0.0,16,transfer_confirm_call,420,AGT-04,True,RX-37835
2024-08-07 00:42:41.889+00+12012838683+18664246935,patient_access_check,2024-08-07,00:00:00,13,8664246935,BIMZELX Bridge,,20,patient_access_check,900,AGT-05,False,ENR-3593
2024-08-29 21:39:43.662+00+12012838683+18007979791,pa_plan_call,2024-08-29,21:00:00,9,8007979791,United Healthcare,1.0,17,pa_plan_call,900,AGT-05,False,PA-6226
2024-08-27 22:21:15.138+00+12012838683+17036319440,transfer_confirm_call,2024-08-27,22:00:00,696,7036319440,CVS Pharmacy,0.0,18,transfer_confirm_call,420,AGT-05,True,RX-37669
2024-08-27 18:51:24.387+00+12012838683+15094667461,transfer_confirm_call,2024-08-27,18:00:00,426,5094667461,Walgreens,0.0,14,transfer_confirm_call,420,AGT-05,True,RX-37961
2024-08-07 00:41:54.628+00+12012838683+13019336165,transfer_confirm_call,2024-08-07,00:00:00,22,3019336165,Kensington Pharmacy,0.0,20,transfer_confirm_call,420,AGT-05,False,RX-33085
2024-08-07 00:08:11.220+00+12012838683+18008801188,pa_plan_call,2024-08-07,00:00:00,16,8008801188,Bc/bs Arizona,1.0,20,pa_plan_call,900,AGT-05,False,PA-2418
2024-08-15 16:20:42.634+00+12012838683+18004212342,pa_plan_call,2024-08-15,16:00:00,13,8004212342,Unknown destination,,12,pa_plan_call,900,AGT-05,False,PA-4246
2024-08-28 16:39:57.218+00+12012838683+18667597494,patient_access_check,2024-08-28,16:00:00,343,8667597494,Skyrizi Bridge,1.0,12,patient_access_check,900,AGT-05,True,ENR-2066
2024-08-27 22:37:25.302+00+12012838683+14256893735,transfer_confirm_call,2024-08-27,22:00:00,133,4256893735,Cityscript Pharmacy,0.0,18,transfer_confirm_call,420,AGT-05,True,RX-37084
2024-08-19 18:11:34.360+00+12083913427+18662953015,transfer_confirm_call,2024-08-19,18:00:00,79,8662953015,Signio Specialty Pharmacy,1.0,14,transfer_confirm_call,420,AGT-05,True,RX-21155
2024-08-11 13:02:43.956+00+12082540285+18008087347,pa_plan_call,2024-08-11,13:00:00,14,8008087347,John Hopkins,,9,pa_plan_call,900,AGT-06,False,PA-8688
2024-08-04 16:48:18.625+00+12082540285+18004212342,pa_plan_call,2024-08-04,16:00:00,3,8004212342,Bc/bs Federal Employees,1.0,12,pa_plan_call,900,AGT-06,False,PA-1464
2024-08-16 23:37:25.901+00+12082540285+18882920744,transfer_confirm_call,2024-08-16,23:00:00,965,8882920744,BioPlus Specialty Pharmacy,1.0,19,transfer_confirm_call,420,AGT-06,True,RX-36864
2024-08-30 15:57:27.021+00+12082540285+17372209738,transfer_confirm_call,2024-08-30,15:00:00,454,7372209738,CVS Pharmacy,0.0,11,transfer_confirm_call,420,AGT-06,True,RX-40589
2024-08-20 23:20:44.482+00+12082540285+12087651254,transfer_confirm_call,2024-08-20,23:00:00,346,2087651254,Walgreens,0.0,19,transfer_confirm_call,420,AGT-06,True,RX-35645
2024-08-27 15:16:43.881+00+12082540285+18008240898,pa_plan_call,2024-08-27,15:00:00,452,8008240898,Medco Medicare Pdp,1.0,11,pa_plan_call,900,AGT-06,True,PA-5126
2024-08-22 20:20:04.743+00+12082540285+18667597494,patient_access_check,2024-08-22,20:00:00,24,8667597494,Skyrizi Bridge,1.0,16,patient_access_check,900,AGT-06,False,ENR-3317
