call_id,code,severity,planted_by,manifested,detail
2024-08-29 23:35:25.708+00+12082540231+17322547800,FAB_CONTACT,critical,profile,True,"form claims contact, no REP turns"
2024-08-04 16:17:13.795+00+12012838683+18004212342,FAB_CONTACT,critical,profile,True,"form claims contact, no REP turns"
2024-08-08 18:05:40.354+00+12012838683+15097251151,FAB_CONTACT,critical,profile,True,"form claims contact, no REP turns"
2024-08-02 00:52:38.425+00+12012838683+17187362200,FAB_CONTACT,critical,profile,True,"form claims contact, no REP turns"
2024-08-27 19:01:28.547+00+12012838683+18007887871,MISSED_NEXT_STEP,major,profile,True,missing: auth_number
2024-08-29 22:04:57.331+00+12082540208+18008801188,MISSED_NEXT_STEP,major,profile,True,missing: denial_reason
2024-08-29 22:04:57.331+00+12082540208+18008801188,MISSING_REF,major,profile,True,"REP gave REF-527951, form empty"
2024-08-27 16:30:40.832+00+12012838683+18004212342,MISSED_NEXT_STEP,major,profile,True,"missing: appeal_deadline, peer_to_peer"
2024-08-23 21:17:43.666+00+12082540552+18448258966,MISSED_NEXT_STEP,major,profile,True,missing: appeal_or_alternative
2024-08-22 14:21:23.409+00+12082540552+18002226885,MISSED_NEXT_STEP,major,profile,False,all required facts were stated
2024-08-16 23:37:25.901+00+12082540285+18882920744,PHI_DISCLOSURE,critical,profile,True,address / diagnosis / member ID spoken by AGENT
2024-08-30 15:57:27.021+00+12082540285+17372209738,PHI_DISCLOSURE,critical,profile,True,address / diagnosis / member ID spoken by AGENT
2024-08-20 23:20:44.482+00+12082540285+12087651254,PHI_DISCLOSURE,critical,profile,True,address / diagnosis / member ID spoken by AGENT
2024-08-27 15:16:43.881+00+12082540285+18008240898,PHI_DISCLOSURE,critical,profile,True,address / diagnosis / member ID spoken by AGENT
2024-08-16 17:45:50.836+00+12082540285+15123392050,PHI_DISCLOSURE,critical,profile,True,address / diagnosis / member ID spoken by AGENT
2024-08-27 19:01:28.547+00+12012838683+18007887871,MISSING_REF,major,profile,True,"REP gave REF-238200, form empty"
2024-08-19 18:11:34.360+00+12083913427+18662953015,UNPROFESSIONAL,major,profile,True,sigh / 'just check again' in AGENT turns
2024-08-27 22:21:15.138+00+12012838683+17036319440,UNPROFESSIONAL,major,profile,True,sigh / 'just check again' in AGENT turns
2024-08-28 20:00:33.482+00+12082540552+18008801188,STATUS_MISMATCH,critical,global,True,"rep said approved, form says pending"
2024-08-29 20:38:57.462+00+12082540208+16095845851,STATUS_MISMATCH,critical,global,True,"rep said filled, form says not_received"
2024-08-10 00:48:12.983+00+12012838683+18667597494,STATUS_MISMATCH,critical,global,True,"rep said enrolled, form says pending_docs"
2024-08-14 15:35:34.655+00+12012838683+18888437226,STATUS_MISMATCH,critical,global,True,"rep said not_received, form says received"
2024-08-01 00:45:18.059+00+12082540296+17183992716,AFTER_HOURS,minor,derived,,
2024-08-01 18:03:39.510+00+12012838683+18007917658,HOLD_OVERRUN,minor,derived,,
2024-08-02 00:52:38.425+00+12012838683+17187362200,AFTER_HOURS,minor,derived,,
2024-08-03 00:19:26.312+00+12082540296+18448258966,AFTER_HOURS,minor,derived,,
2024-08-07 00:08:11.220+00+12012838683+18008801188,AFTER_HOURS,minor,derived,,
2024-08-07 00:41:54.628+00+12012838683+13019336165,AFTER_HOURS,minor,derived,,
2024-08-07 00:42:41.889+00+12012838683+18664246935,AFTER_HOURS,minor,derived,,
2024-08-09 00:07:10.275+00+12082540296+16093948111,AFTER_HOURS,minor,derived,,
2024-08-10 00:48:12.983+00+12012838683+18667597494,AFTER_HOURS,minor,derived,,
2024-08-10 17:09:45.301+00+12082540231+18554274682,HOLD_OVERRUN,minor,derived,,
2024-08-13 20:47:51.505+00+12082540231+13037524911,HOLD_OVERRUN,minor,derived,,
2024-08-13 20:47:51.505+00+12082540231+13037524911,REDUNDANT_CALL,minor,derived,,
2024-08-16 23:37:25.901+00+12082540285+18882920744,HOLD_OVERRUN,minor,derived,,
2024-08-16 23:37:25.901+00+12082540285+18882920744,AFTER_HOURS,minor,derived,,
2024-08-20 23:20:44.482+00+12082540285+12087651254,AFTER_HOURS,minor,derived,,
2024-08-20 23:20:44.482+00+12082540285+12087651254,REDUNDANT_CALL,minor,derived,,
2024-08-21 14:31:42.228+00+12012838683+18554274682,HOLD_OVERRUN,minor,derived,,
2024-08-22 23:49:35.157+00+12012838683+18667597494,AFTER_HOURS,minor,derived,,
2024-08-27 19:01:28.547+00+12012838683+18007887871,HOLD_OVERRUN,minor,derived,,
2024-08-27 22:21:15.138+00+12012838683+17036319440,HOLD_OVERRUN,minor,derived,,
2024-08-28 13:28:12.906+00+12012838683+18007887871,HOLD_OVERRUN,minor,derived,,
2024-08-28 20:00:33.482+00+12082540552+18008801188,HOLD_OVERRUN,minor,derived,,
2024-08-29 19:28:55.474+00+12082540208+12814917551,REDUNDANT_CALL,minor,derived,,
2024-08-29 20:38:57.462+00+12082540208+16095845851,REDUNDANT_CALL,minor,derived,,
