agent,calls,first_call,cohort,under20_share,zero_s_calls,over_limit_share,overrun_share,excess_hold_min,after_hours_share,repeat_dial_share,connected_share,median_duration_s,hours_on_calls,in_judge_sample
AGT-05,823,2024-08-01,tenured,0.096,7,0.079,0.0425,68.2333,0.2321,0.2272,0.8773,165.0,46.7225,True
AGT-02,620,2024-08-01,tenured,0.1258,18,0.1145,0.0919,177.3167,0.1565,0.3016,0.8226,190.0,43.5008,True
AGT-06,610,2024-08-03,tenured,0.0787,4,0.1262,0.0852,144.9333,0.1098,0.3033,0.8984,196.5,42.1578,True
AGT-07,593,2024-08-01,tenured,0.0843,11,0.0759,0.0371,63.9,0.2648,0.3238,0.8617,140.0,31.28,True
AGT-08,578,2024-08-05,tenured,0.0571,7,0.1609,0.0969,194.2833,0.0,0.3529,0.9031,225.5,45.7917,True
agent-09,578,2024-08-01,tenured,0.0554,13,0.1938,0.109,235.7,0.0,0.2803,0.9308,230.5,48.4608,False
agent-10,525,2024-08-01,tenured,0.0648,8,0.1314,0.0857,183.85,0.0133,0.2952,0.8952,194.0,39.3942,False
agent-11,519,2024-08-01,tenured,0.0617,8,0.106,0.0578,88.5833,0.2004,0.3526,0.9037,186.0,35.7981,False
agent-12,505,2024-08-03,tenured,0.0535,3,0.1386,0.0851,144.3333,0.0,0.2297,0.9168,188.0,37.7064,False
agent-13,426,2024-08-01,tenured,0.061,11,0.1643,0.1009,130.5333,0.0,0.3592,0.9108,190.0,34.0539,False
agent-14,392,2024-08-02,tenured,0.0434,6,0.1276,0.0663,68.3833,0.0128,0.2296,0.9286,212.0,29.0758,False
agent-15,310,2024-08-01,tenured,0.1097,9,0.0548,0.0419,25.7167,0.0,0.3258,0.8581,134.0,16.1031,False
agent-16,288,2024-08-01,tenured,0.0347,2,0.1944,0.1528,206.5833,0.0,0.2431,0.9549,276.0,28.7642,False
AGT-01,242,2024-08-02,tenured,0.1446,7,0.0455,0.0248,12.0,0.1694,0.2149,0.8182,140.5,13.6953,True
AGT-03,171,2024-08-20,new (from Aug 20),0.0292,2,0.2456,0.152,99.0333,0.0,0.3567,0.9474,307.0,17.3272,True
AGT-04,150,2024-08-20,new (from Aug 20),0.04,0,0.2467,0.1667,75.7833,0.0,0.28,0.96,298.5,15.5506,True
agent-17,149,2024-08-20,new (from Aug 20),0.0067,0,0.2282,0.1275,87.1,0.0,0.3356,0.9664,299.0,15.7778,False
agent-18,146,2024-08-20,new (from Aug 20),0.0274,0,0.2123,0.1781,137.5333,0.0,0.3425,0.9658,289.5,15.6314,False
agent-19,136,2024-08-21,new (from Aug 20),0.0368,2,0.1544,0.1103,65.9333,0.0,0.3529,0.9559,269.0,12.8639,False
agent-20,136,2024-08-20,new (from Aug 20),0.0147,0,0.2794,0.1912,111.5333,0.0,0.2941,0.9779,295.0,14.9217,False
agent-21,130,2024-08-20,new (from Aug 20),0.0385,4,0.2462,0.1769,104.05,0.0,0.3615,0.9462,300.0,14.3533,False
agent-22,122,2024-08-20,new (from Aug 20),0.0164,0,0.2541,0.1639,62.1,0.0,0.3361,0.9754,312.0,12.145,False
agent-23,120,2024-08-20,new (from Aug 20),0.05,0,0.2417,0.1583,55.6167,0.0,0.3083,0.95,298.0,11.9411,False
agent-24,18,2024-08-01,tenured,0.0556,0,0.0556,0.0,0.0,0.8889,0.2222,0.8333,90.5,0.7219,False
agent-25,7,2024-08-02,tenured,0.0,0,0.5714,0.4286,28.9333,0.0,0.0,1.0,603.0,1.3064,False
