call_id,code,severity,reason
2024-08-29 23:35:25.708+00+12082540231+17322547800,FAB_CONTACT,critical,"spoke_with_rep=True, rep_name='David' but duration=8s"
2024-08-29 23:35:25.708+00+12082540231+17322547800,OUTCOME_VS_RX,critical,"form outcome=received but record on 2024-08-29: received_at=2024-08-31, filled_at=None, blocker=None"
2024-08-29 23:35:25.708+00+12082540231+17322547800,AFTER_HOURS,minor,placed at 19:00 ET
2024-08-04 16:17:13.795+00+12012838683+18004212342,FAB_CONTACT,critical,"spoke_with_rep=True, rep_name='Lisa' but duration=3s"
2024-08-04 16:17:13.795+00+12012838683+18004212342,OUTCOME_VS_RX,critical,"form outcome=approved but record on 2024-08-04: status=pending, determination_date=None"
2024-08-13 20:47:51.505+00+12082540231+13037524911,HOLD_OVERRUN,minor,duration=516s > hold limit 420s + 60
2024-08-10 17:09:45.301+00+12082540231+18554274682,HOLD_OVERRUN,minor,duration=565s > hold limit 420s + 60
2024-08-10 00:48:12.983+00+12012838683+18667597494,OUTCOME_VS_RX,critical,form outcome=pending_docs but record on 2024-08-10: status=enrolled
2024-08-10 00:48:12.983+00+12012838683+18667597494,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-29 23:14:34.925+00+12012838683+18887689588,AFTER_HOURS,minor,placed at 19:00 ET
2024-08-14 15:35:34.655+00+12012838683+18888437226,OUTCOME_VS_RX,critical,"form outcome=received but record on 2024-08-14: received_at=2024-08-15, filled_at=None, blocker=None"
2024-08-08 18:05:40.354+00+12012838683+15097251151,FAB_CONTACT,critical,"spoke_with_rep=True, rep_name='Jennifer' but duration=0s"
2024-08-01 18:03:39.510+00+12012838683+18007917658,HOLD_OVERRUN,minor,duration=621s > hold limit 420s + 60
2024-08-02 00:52:38.425+00+12012838683+17187362200,FAB_CONTACT,critical,"spoke_with_rep=True, rep_name='David' but duration=23s"
2024-08-02 00:52:38.425+00+12012838683+17187362200,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-22 23:49:35.157+00+12012838683+18667597494,AFTER_HOURS,minor,placed at 19:00 ET
2024-08-29 20:38:57.462+00+12082540208+16095845851,OUTCOME_VS_RX,critical,"form outcome=not_received but record on 2024-08-29: received_at=2024-08-28, filled_at=2024-08-28, blocker=None"
2024-08-27 19:01:28.547+00+12012838683+18007887871,MISSING_REF,major,connected pa_plan_call (1932s) with empty reference_number
2024-08-27 19:01:28.547+00+12012838683+18007887871,HOLD_OVERRUN,minor,duration=1932s > hold limit 900s + 60
2024-08-29 22:04:57.331+00+12082540208+18008801188,MISSING_REF,major,connected pa_plan_call (1444s) with empty reference_number
2024-08-29 22:04:57.331+00+12082540208+18008801188,HOLD_OVERRUN,minor,duration=1444s > hold limit 900s + 60
2024-08-30 14:13:53.268+00+12082540552+18008240898,HOLD_OVERRUN,minor,duration=997s > hold limit 900s + 60
2024-08-28 20:00:33.482+00+12082540552+18008801188,OUTCOME_VS_RX,critical,"form outcome=pending but record on 2024-08-28: status=approved, determination_date=2024-08-20"
2024-08-28 20:00:33.482+00+12082540552+18008801188,HOLD_OVERRUN,minor,duration=1725s > hold limit 900s + 60
2024-08-07 00:42:41.889+00+12012838683+18664246935,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-27 22:21:15.138+00+12012838683+17036319440,HOLD_OVERRUN,minor,duration=696s > hold limit 420s + 60
2024-08-07 00:41:54.628+00+12012838683+13019336165,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-07 00:08:11.220+00+12012838683+18008801188,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-16 23:37:25.901+00+12082540285+18882920744,HOLD_OVERRUN,minor,duration=965s > hold limit 420s + 60
2024-08-16 23:37:25.901+00+12082540285+18882920744,AFTER_HOURS,minor,placed at 19:00 ET
2024-08-20 23:20:44.482+00+12082540285+12087651254,AFTER_HOURS,minor,placed at 19:00 ET
2024-08-09 00:07:10.275+00+12082540296+16093948111,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-01 00:45:18.059+00+12082540296+17183992716,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-03 00:19:26.312+00+12082540296+18448258966,AFTER_HOURS,minor,placed at 20:00 ET
2024-08-21 14:31:42.228+00+12012838683+18554274682,HOLD_OVERRUN,minor,duration=637s > hold limit 420s + 60
2024-08-28 13:28:12.906+00+12012838683+18007887871,HOLD_OVERRUN,minor,duration=1134s > hold limit 900s + 60
2024-08-13 20:47:51.505+00+12082540231+13037524911,REDUNDANT_CALL,minor,RX-34412 already called earlier on 2024-08-13 (2024-08-13 15:15:41.759+00+12082540231+17184039112)
2024-08-20 23:20:44.482+00+12082540285+12087651254,REDUNDANT_CALL,minor,RX-35645 already resolved before call (filled 2024-08-18)
2024-08-29 19:28:55.474+00+12082540208+12814917551,REDUNDANT_CALL,minor,RX-39914 already resolved before call (filled 2024-08-28)
2024-08-29 20:38:57.462+00+12082540208+16095845851,REDUNDANT_CALL,minor,RX-39914 already resolved before call (filled 2024-08-28)
