call_id,agent_id,call_type,destination_name,duration_seconds,et_hour,connected,judged,score,n_critical,n_major,n_minor,needs_human_review,codes,agent_score,n_process,form_accuracy,n_unverifiable,auto_fill_fields,evidence_failures,guard_drops,input_tokens,output_tokens,latency_s
2024-08-29 23:35:25.708+00+12082540231+17322547800,AGT-01,transfer_confirm_call,Southwood Pharmacy,8,19,False,True,15,2,0,1,True,AFTER_HOURS;FAB_CONTACT;OUTCOME_VS_RX,20,1,0.0,2,1,0,0,4300,1050,8.9
2024-08-04 16:17:13.795+00+12012838683+18004212342,AGT-01,pa_plan_call,Bc/bs Federal Employees,3,12,False,True,20,2,0,0,True,FAB_CONTACT;OUTCOME_VS_RX,20,0,0.0,2,1,0,0,4410,1317,10.1
2024-08-13 20:47:51.505+00+12082540231+13037524911,AGT-01,transfer_confirm_call,Walgreens,516,16,True,True,90,0,0,2,False,HOLD_OVERRUN;REDUNDANT_CALL,100,2,1.0,0,5,0,0,5432,1174,8.96
2024-08-10 17:09:45.301+00+12082540231+18554274682,AGT-01,transfer_confirm_call,Optum Specialty Pharmacy,565,13,True,True,95,0,0,1,False,HOLD_OVERRUN,100,1,1.0,0,5,0,0,5448,1110,8.86
2024-08-10 00:48:12.983+00+12012838683+18667597494,AGT-01,patient_access_check,Skyrizi Bridge,51,20,True,True,15,2,0,1,True,AFTER_HOURS;OUTCOME_VS_RX;STATUS_MISMATCH,20,1,0.6,0,4,0,0,4865,1375,10.74
2024-08-10 18:50:54.350+00+12082540231+18008801188,AGT-01,pa_plan_call,Cwa,335,14,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5190,1172,8.52
2024-08-04 16:16:06.210+00+12012838683+18007887871,AGT-01,pa_plan_call,Aarp Medicare Pdp,4,12,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4379,1144,9.07
2024-08-29 23:14:34.925+00+12012838683+18887689588,AGT-01,patient_access_check,SOTYKTU Start,357,19,True,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,0,5,0,1,5296,1312,10.32
2024-08-14 15:35:34.655+00+12012838683+18888437226,AGT-01,transfer_confirm_call,TheraCom,189,11,True,True,20,2,0,0,True,OUTCOME_VS_RX;STATUS_MISMATCH,20,0,0.6,0,4,0,0,5161,1291,9.89
2024-08-13 15:15:41.759+00+12082540231+17184039112,AGT-01,transfer_confirm_call,Walgreens,127,11,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5015,1153,9.17
2024-08-23 17:37:13.093+00+12012838683+12028295234,AGT-02,transfer_confirm_call,CVS Pharmacy,13,13,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4331,967,8.31
2024-08-08 18:05:40.354+00+12012838683+15097251151,AGT-02,transfer_confirm_call,Davenport Pharmacy,0,14,False,True,60,1,0,0,True,FAB_CONTACT,60,0,0.0,2,1,0,0,4201,1090,8.51
2024-08-30 15:26:46.213+00+12012838683+18008240898,AGT-02,pa_plan_call,Medco Medicare Pdp,901,11,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,5280,1245,9.62
2024-08-01 18:03:39.510+00+12012838683+18007917658,AGT-02,transfer_confirm_call,Optum Home Delivery,621,14,True,True,95,0,0,1,False,HOLD_OVERRUN,100,1,1.0,0,5,0,0,5235,1148,8.54
2024-08-02 00:52:38.425+00+12012838683+17187362200,AGT-02,transfer_confirm_call,City Chemist,23,20,False,True,55,1,0,1,True,AFTER_HOURS;FAB_CONTACT,60,1,0.0,2,1,0,0,4323,976,8.67
2024-08-18 22:03:45.199+00+12012838683+18664098430,AGT-02,pa_plan_call,Husky Health CT,41,18,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,4858,1226,9.45
2024-08-31 21:27:20.757+00+12012838683+18007979791,AGT-02,pa_plan_call,United Healthcare,63,17,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,4982,1298,9.56
2024-08-26 17:34:46.843+00+12012838683+18443874936,AGT-02,patient_access_check,Dupixent MyWay Atopic Dermatitis,430,13,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5604,1265,9.36
2024-08-22 23:49:35.157+00+12012838683+18667597494,AGT-02,patient_access_check,Skyrizi Bridge,333,19,True,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,0,5,0,0,5320,1241,9.4
2024-08-30 15:59:45.100+00+12012838683+17603844020,AGT-02,transfer_confirm_call,Sav-On Pharmacy,98,11,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,4898,1184,9.51
2024-08-23 16:23:51.774+00+12082540208+18443874936,AGT-03,patient_access_check,Dupixent MyWay Atopic Dermatitis,10,12,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4347,984,7.72
2024-08-23 17:46:13.349+00+12082540208+18339563376,AGT-03,patient_access_check,Litfulo Start,7,13,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4348,961,8.7
2024-08-29 20:38:57.462+00+12082540208+16095845851,AGT-03,transfer_confirm_call,CVS Pharmacy,424,16,True,True,15,2,0,1,True,OUTCOME_VS_RX;REDUNDANT_CALL;STATUS_MISMATCH,20,1,0.6,0,4,0,0,5093,1339,10.15
2024-08-30 19:09:02.740+00+12082540208+18443874936,AGT-03,patient_access_check,Dupixent MyWay Atopic Dermatitis,939,15,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,5273,1281,13.55
2024-08-27 19:01:28.547+00+12012838683+18007887871,AGT-03,pa_plan_call,Community Health Netwk,1932,15,True,True,65,0,2,1,False,HOLD_OVERRUN;MISSED_NEXT_STEP;MISSING_REF,70,1,0.75,1,4,0,0,5110,1519,10.85
2024-08-29 22:04:57.331+00+12082540208+18008801188,AGT-03,pa_plan_call,Cwa,1444,18,True,True,65,0,2,1,False,HOLD_OVERRUN;MISSED_NEXT_STEP;MISSING_REF,70,1,0.75,1,4,0,0,5081,1489,12.42
2024-08-27 16:30:40.832+00+12012838683+18004212342,AGT-03,pa_plan_call,Bc/bs Federal Employees,463,12,True,True,85,0,1,0,False,MISSED_NEXT_STEP,85,0,1.0,1,4,0,0,5036,1410,10.7
2024-08-29 21:21:17.567+00+12082540208+12036588229,AGT-03,transfer_confirm_call,A&S Pharmacy,66,17,True,True,100,0,0,0,False,,100,0,1.0,0,4,0,0,4805,1186,9.08
2024-08-28 16:20:33.446+00+12012838683+15125281193,AGT-03,transfer_confirm_call,CVS Pharmacy,146,12,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5038,1185,9.01
2024-08-29 19:28:55.474+00+12082540208+12814917551,AGT-03,transfer_confirm_call,CVS Pharmacy,141,15,True,True,95,0,0,1,False,REDUNDANT_CALL,100,1,1.0,0,5,0,0,4966,1067,8.14
2024-08-30 20:49:00.085+00+12082540552+16314221912,AGT-04,transfer_confirm_call,CVS Pharmacy,17,16,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4326,910,7.36
2024-08-23 21:16:59.016+00+12082540552+18554274682,AGT-04,transfer_confirm_call,Optum Specialty Pharmacy,11,17,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4376,908,7.63
2024-08-30 14:13:53.268+00+12082540552+18008240898,AGT-04,pa_plan_call,Medco Medicare Pdp,997,10,True,True,95,0,0,1,False,HOLD_OVERRUN,100,1,1.0,1,4,0,0,5017,1255,9.09
2024-08-23 16:59:54.099+00+12082540552+15094642791,AGT-04,transfer_confirm_call,Rite Aid Pharmacy,424,12,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5336,1118,8.62
2024-08-28 20:00:33.482+00+12082540552+18008801188,AGT-04,pa_plan_call,Cwa,1725,16,True,True,15,2,0,1,True,HOLD_OVERRUN;OUTCOME_VS_RX;STATUS_MISMATCH,20,1,0.6,0,5,0,0,5194,1519,11.21
2024-08-26 21:19:39.525+00+12082540552+18004212342,AGT-04,pa_plan_call,Bc/bs Federal Employees,251,17,True,True,100,0,0,0,False,,100,0,1.0,1,4,0,0,5581,1254,9.38
2024-08-23 21:17:43.666+00+12082540552+18448258966,AGT-04,patient_access_check,Taltz Bridge,465,17,True,True,85,0,1,0,False,MISSED_NEXT_STEP,85,0,1.0,1,4,0,0,4949,1219,9.38
2024-08-22 14:21:23.409+00+12082540552+18002226885,AGT-04,patient_access_check,Skyrizi Patient Assistance,343,10,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,4963,1086,8.68
2024-08-27 22:12:51.579+00+12082540552+18007917658,AGT-04,transfer_confirm_call,Optum Home Delivery,228,18,True,True,100,0,0,0,False,,100,0,1.0,0,4,0,0,5376,1311,10.09
2024-08-26 20:51:49.256+00+12082540552+19133467405,AGT-04,transfer_confirm_call,Capstone Pharmacy,265,16,True,True,100,0,0,0,False,,100,0,1.0,0,5,0,0,5332,1173,9.12
2024-08-07 00:42:41.889+00+12012838683+18664246935,AGT-05,patient_access_check,BIMZELX Bridge,13,20,False,True,95,0,0,1,False,AFTER_HOURS,100,1,1.0,2,1,0,0,4307,965,7.54
2024-08-29 21:39:43.662+00+12012838683+18007979791,AGT-05,pa_plan_call,United Healthcare,9,17,False,True,100,0,0,0,False,,100,0,1.0,2,1,0,0,4409,1143,9.43
